pos,val
1,1
2,1.0355
3,1.0307
4,1.0504
5,1.0506
6,1.0504
7,1.0504
8,1.0031
9,1.0034
10,1.0139
11,1.0743
12,1.0079
13,1.0119
14,1.007
15,1.0057
16,1.0508
17,0.79636
18,1.052
19,0.79744
20,0.79776
21,1.0652
22,1.0501
23,0.79875
24,1.0515
25,1.0522
26,1.0499
27,0.79589
28,1.0074
29,1.0041
30,1.0054
31,1.0073
32,1.0062
33,1.0061
34,1.0065
35,0.99955
36,1.0072
37,1.0028
38,1.0382
39,1.0014
40,0.99947
41,1.0232
42,1.0048
43,1.0033
44,1.0518
45,0.8001
46,0.79617
47,1.0519
48,0.79812
49,0.79598
50,1.053
51,1.0532
52,0.79652
53,1.0502
54,1.0529
55,0.79834
56,0.79672
57,0.80351
58,0.79985
59,1.0563
60,1.0534
61,0.79636
62,1.0517
63,0.79812
64,1.0568
65,1.0512
66,1.05
67,1.0548
68,0.79804
69,0.79566
70,1.052
71,1.0529
72,0.79829
73,1.0497
74,1.0475
75,0.79556
76,0.79813
77,0.79561
78,1.0501
79,1.0537
80,1.0515
81,1.0515
82,0.79873
83,1.1029
84,1.0515
85,0.79983
86,1.051
87,0.79734
88,1.008
89,1.0233
90,1.0264
91,1.0022
92,1.0021
93,1.0066
94,1.0049
95,1.0042
96,1.0077
97,1.0081
98,1.0438
99,1.004
100,1.0005
101,1.0058
102,1
103,1.0051
104,1.0011
105,1.0163
106,1.0757
107,1.0066
108,1.0023
109,1.0008
110,1.0031
111,1.0055
112,1.0075
113,1.0071
114,1.0066
115,1.0094
116,1.0509
117,1.05
118,1.0518
119,1.0563
120,0.79709
121,0.79596
122,1.0499
123,1.0545
124,0.79795
125,0.79614
126,1.0506
127,1.0502
128,0.79652
129,1.0505
130,0.79827
131,1.0505
132,0.79571
133,0.7938
134,0.8008
135,1.0509
136,1.0505
137,1.0504
138,1.0506
139,1.0512
140,1.0525
141,0.8029
142,1.05
143,1.0576
144,1.0498
145,0.79798
146,1.0697
147,0.79622
