time,node0,node1
4500,0.050432,0.042975
4501,0.050365,0.042431
4502,0.050415,0.042409
4503,0.050945,0.043353
4504,0.050609,0.043126
4505,0.050982,0.043213
4506,0.050454,0.043475
4507,0.051031,0.043323
4508,0.052744,0.04302
4509,0.052209,0.042811
4510,0.052507,0.044078
4511,0.054066,0.044183
4512,0.050483,0.045032
4513,0.050422,0.043093
4514,0.050905,0.042733
4515,0.050987,0.042998
4516,0.050631,0.042944
4517,0.051006,0.043403
4518,0.050651,0.043244
4519,0.050971,0.043199
4520,0.050714,0.043242
4521,0.050782,0.043319
4522,0.050911,0.043099
4523,0.051086,0.043176
4524,0.051657,0.043423
4525,0.050842,0.043501
4526,0.052243,0.04344
4527,0.05087,0.042819
4528,0.051346,0.043414
4529,0.050661,0.043375
4530,0.051337,0.043526
4531,0.051592,0.043332
4532,0.050708,0.043038
4533,0.051086,0.042925
4534,0.050559,0.043219
4535,0.050218,0.043137
4536,0.052216,0.043974
4537,0.051539,0.044428
4538,0.0515,0.043814
4539,0.051077,0.053702
4540,0.051525,0.045062
4541,0.051479,0.045342
4542,0.05099,0.045253
4543,0.050833,0.044394
4544,0.051555,0.04463
4545,0.051375,0.044449
4546,0.051426,0.044092
4547,0.0514,0.0447
4548,0.04654,0.058853
4549,0.046089,0.058848
4550,0.045828,0.058379
4551,0.051578,0.044115
4552,0.051469,0.044299
4553,0.052086,0.044057
4554,0.051757,0.043853
4555,0.046261,0.05882
4556,0.046533,0.059058
4557,0.046667,0.058938
4558,0.046518,0.058798
4559,0.046153,0.058642
4560,0.046472,0.058501
4561,0.046442,0.058637
4562,0.049333,0.059929
4563,0.046352,0.059268
4564,0.046238,0.058544
4565,0.046032,0.05798
4566,0.045901,0.058532
4567,0.051975,0.044047
4568,0.052225,0.044136
4569,0.053438,0.044621
4570,0.047261,0.0596
4571,0.052062,0.043609
4572,0.051945,0.044009
4573,0.05221,0.043889
4574,0.051787,0.043737
4575,0.052258,0.043816
4576,0.051819,0.044182
4577,0.051421,0.04394
4578,0.051771,0.043802
4579,0.046717,0.059385
4580,0.046831,0.058869
4581,0.047208,0.059572
4582,0.046693,0.059334
4583,0.04662,0.059076
4584,0.046329,0.058436
4585,0.046503,0.058875
4586,0.051855,0.04415
4587,0.052504,0.044131
4588,0.052328,0.044369
4589,0.046629,0.058243
4590,0.052217,0.053491
4591,0.052267,0.053517
4592,0.052052,0.053707
4593,0.05245,0.053907
4594,0.046494,0.058352
4595,0.052751,0.053835
4596,0.052164,0.0537
4597,0.051484,0.053788
4598,0.052078,0.054312
4599,0.055339,0.055607
4600,0.051844,0.053977
4601,0.051758,0.053318
4602,0.047089,0.057572
4603,0.046602,0.058283
4604,0.04654,0.05794
4605,0.046564,0.057865
4606,0.047041,0.058858
4607,0.046351,0.058571
4608,0.046318,0.058509
4609,0.046397,0.0586
4610,0.046331,0.058999
4611,0.046309,0.058371
4612,0.046062,0.058647
4613,0.046064,0.058654
4614,0.046532,0.058532
4615,0.046762,0.05811
4616,0.046947,0.057947
4617,0.046092,0.058518
4618,0.046767,0.057478
