time,node0,node1,node2,node3
1,0.036025,0.038594,0.049504,0.041848
5,0.034383,0.03595,0.044457,0.035621
9,0.034417,0.036135,0.044359,0.035569
13,0.034585,0.036175,0.044211,0.035795
17,0.035165,0.036275,0.044798,0.034861
21,0.035412,0.036515,0.044948,0.035028
25,0.03501,0.03618,0.044757,0.034663
29,0.035113,0.035801,0.044845,0.035104
33,0.035033,0.036173,0.044107,0.034916
37,0.035562,0.035726,0.03376,0.03493
41,0.035212,0.035867,0.033663,0.035319
45,0.035374,0.035767,0.033795,0.035231
49,0.034974,0.035761,0.033705,0.034994
53,0.034917,0.035719,0.033768,0.035052
57,0.034742,0.035942,0.034616,0.035234
61,0.034855,0.03562,0.033964,0.036003
65,0.034549,0.035553,0.034022,0.0353
69,0.03482,0.035812,0.034017,0.035454
73,0.034507,0.03588,0.033944,0.035273
77,0.034326,0.035853,0.033876,0.03546
81,0.035144,0.03593,0.034097,0.034528
85,0.035033,0.036105,0.034255,0.034633
89,0.035093,0.036157,0.034028,0.034757
93,0.035311,0.036851,0.034917,0.035719
97,0.035236,0.036093,0.034109,0.035045
101,0.035398,0.035674,0.034183,0.034886
105,0.034821,0.036408,0.034099,0.03517
109,0.035324,0.036344,0.034223,0.035168
113,0.034971,0.036387,0.034172,0.03522
117,0.035006,0.035792,0.034547,0.035535
121,0.035039,0.035922,0.034322,0.035568
125,0.034822,0.03574,0.034356,0.035702
129,0.034608,0.036609,0.034448,0.035147
133,0.035145,0.036468,0.034641,0.035569
137,0.034509,0.036679,0.034503,0.035561
141,0.035432,0.037725,0.036175,0.035555
145,0.035949,0.036218,0.034894,0.035702
149,0.035346,0.036671,0.03635,0.035956
153,0.035304,0.036532,0.034713,0.035886
157,0.035575,0.036891,0.034973,0.035989
161,0.035433,0.037203,0.035317,0.036026
165,0.035626,0.037308,0.034883,0.036286
169,0.036077,0.036947,0.03481,0.036715
173,0.03633,0.036905,0.035019,0.03654
177,0.036316,0.036872,0.035026,0.036856
181,0.036063,0.036593,0.035161,0.036746
185,0.03659,0.03764,0.035053,0.035775
189,0.03636,0.037916,0.035204,0.035728
193,0.036307,0.037986,0.035204,0.036038
197,0.036315,0.037926,0.035359,0.036189
201,0.036271,0.037974,0.0354,0.0359
205,0.036855,0.038221,0.036271,0.036587
209,0.036472,0.037415,0.03584,0.036442
213,0.036404,0.037354,0.035297,0.037005
217,0.035836,0.037459,0.035239,0.036762
221,0.035701,0.037123,0.035413,0.036779
225,0.036284,0.037192,0.035368,0.036603
229,0.036445,0.037614,0.035492,0.036061
233,0.035992,0.037465,0.035036,0.036663
237,0.035898,0.037768,0.034963,0.036538
241,0.036139,0.037823,0.036098,0.03696
245,0.037319,0.037757,0.035168,0.036759
249,0.037249,0.038069,0.035292,0.037487
253,0.036667,0.038081,0.035683,0.037499
257,0.036767,0.037404,0.035854,0.037068
261,0.037247,0.037495,0.035757,0.036803
265,0.037015,0.037528,0.035783,0.037454
