loading_data, 3.43867898
sending_initial,0.0468249321
builing_first_qt,2.395128965
forces,allgatherv,rebuilding
1.732387066,12.01478601,2.039855003
1.661783934,12.39358592,2.042665958
1.664153099,12.51206517,2.112670898
1.666224957,12.5596211,2.133898973
1.679147005,12.36433005,2.157534122
1.693760872,12.58297992,2.159089088
1.692180872,12.49503016,2.155357122
1.698921204,12.478302,2.162616968
1.684592009,12.33278418,2.155539036
1.671828985,12.49844694,2.170155048
1.665271044,12.4848249,2.160645008
total_time,184.6056359
